2018-03-09 16:30:48 17661 [restartedMain] WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static procheck.service.RoleService procheck.controller.DataManageController.roleService
2018-03-09 16:30:48 17740 [restartedMain] WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static procheck.common.config.MysqlConfig procheck.controller.mainController.mysqlConfig
2018-03-09 16:30:50 19122 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2018-03-09 16:37:06 395767 [restartedMain] WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static procheck.service.RoleService procheck.controller.DataManageController.roleService
2018-03-09 16:37:06 395817 [restartedMain] WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static procheck.common.config.MysqlConfig procheck.controller.mainController.mysqlConfig
2018-03-09 16:37:07 396093 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2018-03-09 16:48:43 1091957 [restartedMain] WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static procheck.service.RoleService procheck.controller.DataManageController.roleService
2018-03-09 16:48:43 1092005 [restartedMain] WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static procheck.common.config.MysqlConfig procheck.controller.mainController.mysqlConfig
2018-03-09 16:48:43 1092248 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2018-03-09 16:56:52 1581348 [restartedMain] WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static procheck.service.RoleService procheck.controller.DataManageController.roleService
2018-03-09 16:56:52 1581400 [restartedMain] WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static procheck.common.config.MysqlConfig procheck.controller.mainController.mysqlConfig
2018-03-09 16:56:52 1581655 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2018-03-09 17:06:33 2162339 [restartedMain] WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static procheck.service.RoleService procheck.controller.DataManageController.roleService
2018-03-09 17:06:33 2162388 [restartedMain] WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static procheck.common.config.MysqlConfig procheck.controller.mainController.mysqlConfig
2018-03-09 17:06:33 2162630 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
